a1_Throughput,a1_Angular_Distance_from_target,a1_Euclidean_Distance_from_target,a1_Upstream_Throughput,a1_Beta,a1_Rho,a1_Acceleration,a1_Speed,a1_Position,a1_Heuristic,a1_Angular_Distance_from_a2,a1_Angular_Distance_from_a3,a1_Angular_Distance_from_a4,a2_Throughput,a2_Angular_Distance_from_target,a2_Euclidean_Distance_from_target,a2_Upstream_Throughput,a2_Beta,a2_Rho,a2_Acceleration,a2_Speed,a2_Position,a2_Heuristic,a2_Angular_Distance_from_a3,a2_Angular_Distance_from_a4,a3_Throughput,a3_Angular_Distance_from_target,a3_Euclidean_Distance_from_target,a3_Upstream_Throughput,a3_Beta,a3_Rho,a3_Acceleration,a3_Speed,a3_Position,a3_Heuristic,a3_Angular_Distance_from_a4,a4_Throughput,a4_Angular_Distance_from_target,a4_Euclidean_Distance_from_target,a4_Upstream_Throughput,a4_Beta,a4_Rho,a4_Acceleration,a4_Speed,a4_Position,a4_Heuristic
12.0,146.9952129897485,0.24821117154218736,16.0,1,0.8386250609224565,[0.0004688  0.00054661],[0.00782633 0.00636681],[5.708156 5.364797],0.1,166.12205232086944,158.3206810192293,110.27156884985038,20.22868021809693,340.87316066887905,1.6208916375412301,26.971573624129242,0,0.0,[ 0.04428191 -0.04840022],[0.07542842 0.17983416],[3.9685888 6.031102 ],0.04255249745158,7.801371301640131,83.60637882928017,12.493969176832561,348.6745319705192,0.19796625228713158,16.658625569110082,1,0,[8.07412900e-05 9.23114456e-04],[ 0.00397138 -0.00199498],[5.3058887 5.538877 ],0.1,91.4077501309203,12.0,257.2667818395989,0.1695580621884311,16.0,1,0.220411749397063,[ 0.00013304 -0.00245908],[0.00028934 0.00477595],[5.5373726 5.665388 ],0.1
12.0,149.34495550005488,0.2516135035454949,16.0,1,0.8602525898263865,[-0.00163548  0.00016345],[0.00829513 0.00691341],[5.716451  5.3717103],0.1,174.48645208859818,160.59494331402738,107.95468701500562,19.88804281038341,334.8585034114567,1.5594399895411464,26.51739041384455,0,0.0,[ 0.03597362 -0.04872596],[0.11971033 0.13143393],[4.0882993 6.162536 ],0.053333333333333295,13.89150877457081,77.5588608963962,12.476914321358164,348.7500121860275,0.19378265639275297,16.635885761810886,1,0,[-0.00090484 -0.00078072],[ 0.00405212 -0.00107187],[5.309941 5.537805],0.1,91.450369670967,12.0,257.2996425150605,0.17191118028918342,16.0,1,0.21985229099072273,[-0.00027514 -0.00010205],[0.00042239 0.00231687],[5.537795 5.667705],0.1
12.0,151.48537557565254,0.25391131357407837,16.0,1,0.878695291955454,[-9.32132825e-05 -7.23792007e-04],[0.00665965 0.00707686],[5.7231107 5.378787 ],0.1,177.83230502736586,162.37325007411482,105.92721503866113,19.142126216605007,329.3176806030184,1.4604679687598972,25.522834955473346,0,0.0,[ 0.02485786 -0.05262887],[0.15568395 0.08270798],[4.2439833 6.245244 ],0.053333333333333295,19.794444898519316,71.90508998870473,12.461722371219501,349.1121255015377,0.1903383966580714,16.61562982829267,1,0,[ 0.00056068 -0.00109798],[ 0.00314728 -0.00185259],[5.313088  5.5359526],0.1,91.69953488722405,12.0,257.4125906143137,0.1741046290208119,16.0,1,0.2179287806922437,[3.76540353e-05 4.73235780e-04],[0.00014725 0.00221482],[5.5379424 5.66992  ],0.1
12.0,153.43066668049187,0.2567965132756446,16.0,1,0.8943937648828123,[-0.0024389   0.00085668],[0.00656644 0.00635307],[5.729677 5.38514 ],0.1,170.7810378215102,163.64225836931746,104.11326465018033,18.18377207148435,324.2117045020021,1.325809765974297,24.2450294286458,0,0.0,[ 0.01160839 -0.05350208],[0.18054181 0.03007911],[4.4245253 6.275323 ],0.053333333333333295,25.57670380917233,66.66777317132988,12.442357613306454,349.7884083111744,0.18615288010503026,16.589810151075273,1,0,[-0.00069421 -0.00064908],[ 0.00370795 -0.00295057],[5.316796 5.533002],0.1,92.24447698050221,12.0,257.5439313306722,0.1767687388413675,16.0,1,0.2156909789743953,[-0.00035638 -0.00029877],[0.0001849  0.00268806],[5.5381274 5.672608 ],0.1
12.0,155.27732344913534,0.2573970120571358,16.0,1,0.9083427227464874,[0.00013592 0.00090127],[0.00412753 0.00720975],[5.7338047 5.3923497],0.1,164.3177287782188,164.5447802933291,102.48514762282389,17.016915559265613,319.59505222735413,1.1600067144544197,22.689220745687486,0,0.0,[-0.0023438  -0.04057715],[ 0.1921502  -0.02342297],[4.6166754 6.2518997],0.053333333333333295,31.13749092845211,61.832581155394905,12.424323534345223,350.73254315580624,0.1825736337087381,16.565764712460297,1,0,[-0.00048132  0.00193316],[ 0.00301374 -0.00359965],[5.3198094 5.5294023],0.1,92.97007208384701,12.0,257.7624710719592,0.17906620338867688,16.0,1,0.21196496177128832,[-0.00053862  0.00022456],[-0.00017148  0.00238929],[5.5379558 5.6749973],0.1
12.0,157.3095794899558,0.2580397068143305,16.0,1,0.922602597597828,[-0.00110955  0.00072078],[0.00426345 0.00811102],[5.738068  5.4004607],0.1,157.9234555210296,166.1828827201836,100.8469042210333,15.76683428828474,315.2330350109854,0.9768179390230737,21.022445717712987,0,0.0,[-0.01210141 -0.03504576],[ 0.1898064  -0.06400011],[4.806482  6.1878996],0.053333333333333295,35.89366175878678,57.07655129999631,12.411762214691201,351.1266967697722,0.17981007586124945,16.549016286254936,1,0,[-2.33634114e-03  3.62397172e-05],[ 0.00253243 -0.00166649],[5.322342  5.5277357],0.1,92.97021305878309,12.0,258.1564837109891,0.18147462063224437,16.0,1,0.20523944503911715,[-0.00236417  0.00036449],[-0.0007101   0.00261385],[5.5372458 5.6776114],0.1
12.0,159.39210248963593,0.2577126733137866,16.0,1,0.9360110298531221,[ 0.00100798 -0.00201086],[0.0031539 0.0088318],[5.741222  5.4092927],0.1,151.82501253484907,167.76052822885163,99.89294679280766,14.670384914128974,311.217115024485,0.7828232578169934,19.560513218838633,0,0.0,[-0.02533323 -0.02296963],[ 0.17770499 -0.09904587],[4.9841866 6.088854 ],0.053333333333333295,40.41445923629931,51.9320657420414,12.407920804212347,351.6315742607843,0.17937193035135607,16.543894405616463,1,0,[-0.00043052 -0.00177184],[ 0.00019609 -0.00163025],[5.322538  5.5261054],0.1,92.34652497834071,12.0,259.2850492824436,0.18379425455993728,16.0,1,0.18592301130483302,[ 0.00056646 -0.00101369],[-0.00307427  0.00297834],[5.5341716 5.6805897],0.1
12.0,161.12664820133296,0.2593261752681811,16.0,1,0.9462359101146383,[-0.00064158 -0.00047823],[0.00416189 0.00682095],[5.7453837 5.416114 ],0.1,146.77470589832166,168.4075177479031,99.03334082355025,13.889435351218344,307.9013540996546,0.5916314345551056,18.519247134957794,0,0.0,[-0.02845654 -0.0181895 ],[ 0.15237176 -0.12201551],[5.1365585 5.9668384],0.1,44.81777635377523,47.74136507477141,12.402280373230505,352.71913045342984,0.17914115351588758,16.536373830974007,1,0,[-0.0021708  0.0017131],[-0.00023444 -0.00340208],[5.3223033 5.522703 ],0.1,92.55914142854664,12.0,260.1599890248832,0.18527993574684182,16.0,1,0.17089759085724443,[ 0.00171381 -0.00066616],[-0.00250782  0.00196465],[5.531664  5.6825542],0.1
12.0,162.6961759097062,0.260703417288181,16.0,1,0.9547409496949976,[-0.0007272 -0.0012324],[0.0035203  0.00634271],[5.748904  5.4224567],0.1,143.55709976856105,169.35133178990685,97.7724282149444,13.183403051387476,306.25327567826724,0.405045982268522,17.577870735183303,0,0.0,[-0.0376866 -0.0029464],[ 0.12391523 -0.140205  ],[5.2604737 5.8266335],0.1,47.091568441532104,45.78467155361665,12.407944731899946,353.34484411979935,0.18132369201514367,16.54392630919993,1,0,[9.89561435e-05 1.16204871e-03],[-0.00240524 -0.00168898],[5.319898 5.521014],0.1,92.87623999514875,12.0,260.4686041246506,0.18642628487563762,16.0,1,0.1655880274903561,[-0.00024254 -0.00078634],[-0.00079401  0.00129849],[5.53087   5.6838527],0.1
12.0,163.94534979127775,0.2619125627503815,12.0,1,0.960998348609517,[-0.00231199 -0.00083349],[0.0027931  0.00511031],[5.7516975 5.427567 ],0.1,145.93305202807323,170.35370523229273,96.86290684838275,12.608165975903066,309.878401819351,0.2390937202196605,12.608165975903066,1,0.0,[-0.0381216   0.00541139],[ 0.08622863 -0.1431514 ],[5.3467026 5.683482 ],0.1,43.71324273963404,49.070145179690485,12.415466787713253,353.591644558985,0.1835552497030616,12.415466787713253,1,0,[2.73548141e-03 6.01383392e-05],[-0.00230628 -0.00052693],[5.3175917 5.5204873],0.1,92.78338791932453,12.0,260.8082566396605,0.18676296388569727,12.0,1,0.15973893422058283,[ 0.00099095 -0.00067857],[-0.00103655  0.00051216],[5.5298333 5.684365 ],0.1
