a1_Throughput,a1_Angular_Distance_from_target,a1_Euclidean_Distance_from_target,a1_Upstream_Throughput,a1_Beta,a1_Rho,a1_Acceleration,a1_Speed,a1_Position,a1_Heuristic,a1_Angular_Distance_from_a2,a1_Angular_Distance_from_a3,a2_Throughput,a2_Angular_Distance_from_target,a2_Euclidean_Distance_from_target,a2_Upstream_Throughput,a2_Beta,a2_Rho,a2_Acceleration,a2_Speed,a2_Position,a2_Heuristic,a2_Angular_Distance_from_a3,a3_Throughput,a3_Angular_Distance_from_target,a3_Euclidean_Distance_from_target,a3_Upstream_Throughput,a3_Beta,a3_Rho,a3_Acceleration,a3_Speed,a3_Position,a3_Heuristic
16.341248172132243,306.6179807103048,0.1502491215011546,56.61684236643575,1,0,[ 0.00078706 -0.00018936],[ 0.00170913 -0.00047248],[5.41038   5.6205945],0.1,133.60072569921095,96.32734010970512,16.0,80.21870640951573,0.179268878770037,51.24108821866009,1,0.0,[-0.00038234  0.00066917],[0.00655349 0.00051508],[5.4695444 5.323337 ],0.1,130.07193419108393,16.0,210.29064060059966,0.20624133981702136,46.44598403252954,1,0.8634779548526852,[-0.00130936  0.00036618],[ 0.00100493 -0.00160713],[5.678085  5.6040254],0.1
16.327155913661194,305.9961535398499,0.1482376800020268,57.0191306662613,1,0,[-0.00140252 -0.00071982],[ 0.00249619 -0.00066185],[5.412876  5.6199327],0.1,136.1247613100798,95.96161513537965,16.0,82.1209148499297,0.17715083866664239,51.6176286814858,1,0.0,[-0.00180619 -0.00029325],[0.00617115 0.00118425],[5.4757156 5.3245215],0.1,127.91362355454055,16.0,210.03453840447025,0.20535489445473684,46.6035743191579,1,0.8657238420169776,[-0.00036692 -0.00111022],[-0.00030443 -0.00124095],[5.6777806 5.6027846],0.1
16.31835316366821,305.96766620499363,0.14647678598738495,57.37130946918967,1,0,[-0.00043835 -0.00087886],[ 0.00109367 -0.00138167],[5.41397  5.618551],0.1,137.52336283990502,96.4113917048129,16.0,83.49102904489865,0.17571991945217796,51.8720143196128,1,0.0,[ 0.00037421 -0.00076437],[0.00436496 0.000891  ],[5.4800806 5.3254128],0.1,126.06524545528211,16.0,209.55627450018076,0.20360388290345055,46.91486526160879,1,0.8698716299510918,[-0.00014203  0.00220644],[-0.00067135 -0.00235117],[5.6771092 5.6004333],0.1
16.309629406244046,306.28440143481913,0.14426450558430676,57.81376554980532,1,0,[-0.00080443  0.00097613],[ 0.00065532 -0.00226052],[5.414625 5.61629 ],0.1,138.7427155392781,96.65039200004679,16.0,85.02711697409723,0.17511958999273336,51.97873955684741,1,0.0,[-0.00089638 -0.00013425],[0.00473917 0.00012663],[5.48482   5.3255396],0.1,124.60689246067511,16.0,209.63400943477234,0.2028249378943577,47.05334437433641,1,0.8692015840060341,[ 0.00181157 -0.00074055],[-0.00081338 -0.00014473],[5.6762958 5.6002884],0.1
16.30728109864891,306.63641629293033,0.14332003380999142,58.002659904668384,1,0,[0.00079951 0.00086218],[-0.00014911 -0.0012844 ],[5.414476  5.6150055],0.1,139.64561735198083,97.35847245020705,16.0,86.28203364491117,0.1748360119316154,52.02915343437948,1,0.0,[-0.0005041  -0.00161057],[ 3.8427929e-03 -7.6141587e-06],[5.4886627 5.325532 ],0.1,122.99591019781215,16.0,209.27794384272332,0.20325850770194837,46.976265297431404,1,0.8722575968421367,[6.04105182e-05 1.14785954e-03],[ 0.0009982  -0.00088527],[5.677294 5.599403],0.1
16.303008357053695,306.5278916875163,0.142593539936244,58.14795867941786,1,0,[-1.16144782e-03 -4.67111357e-05],[ 0.0006504  -0.00042222],[5.4151263 5.6145835],0.1,140.87131968245518,97.33085883431283,16.0,87.39921136997145,0.17626799145231814,51.77457929736566,1,0.0,[-0.00059204  0.00057866],[ 0.00333869 -0.00161819],[5.4920015 5.3239136],0.1,121.79782148323196,16.0,209.1970328532034,0.20431055535085146,46.78923460429308,1,0.8729473406342442,[ 0.00174789 -0.00098995],[0.00105861 0.00026259],[5.6783524 5.5996656],0.1
16.30443683748202,306.8051817622441,0.14252280743623066,58.162105179420536,1,0,[ 0.00043616 -0.000431  ],[-0.00051105 -0.00046893],[5.414615  5.6141148],0.1,141.49646341928798,98.16439481066925,16.0,88.30164518153208,0.17720377435946397,51.60821789165085,1,0.0,[0.00080967 0.00153789],[ 0.00274666 -0.00103953],[5.494748 5.322874],0.1,120.33914177004277,16.0,208.64078695157485,0.20641562493037235,46.41500001237825,1,0.8776419882522118,[-0.0008159  -0.00045327],[ 0.0028065  -0.00072737],[5.681159  5.5989385],0.1
16.302641500940407,307.0471332455119,0.1418484798665341,58.296970693359846,1,0,[-4.34253598e-06  1.05318744e-03],[-7.4887183e-05 -8.9993165e-04],[5.4145403 5.613215 ],0.1,142.40284169278982,98.95567286246217,16.0,89.4499749383017,0.17663577484300041,51.709195583466595,1,0.0,[ 3.21469735e-05 -1.35986917e-03],[0.00355633 0.00049836],[5.4983044 5.3233724],0.1,118.64148544474801,16.0,208.0914603830497,0.20760646724205173,46.20329471252414,1,0.8821970579181215,[-0.00153154  0.00037972],[ 0.00199059 -0.00118064],[5.68315  5.597758],0.1
16.303406847994623,307.0354171976054,0.14201833857962276,58.26299895074211,1,0,[-0.00062268 -0.00068442],[-7.9229721e-05  1.5325577e-04],[5.414461 5.613368],0.1,143.5756579673838,99.19863679165866,16.0,90.61107516498919,0.17749937570990876,51.55566654046067,1,0.010665071415013312,[-6.73891045e-05  4.95760795e-04],[ 0.00358847 -0.00086151],[5.501893  5.3225107],0.1,117.22570524095755,16.0,207.83678040594674,0.20763640234615474,46.19797291623916,1,0.884281401114648,[ 0.00129151 -0.00156921],[ 0.00045905 -0.00080092],[5.683609  5.5969567],0.1
16.305637946974585,307.390542768678,0.14201979473811188,58.26270771904429,1,0,[0.000292   0.00053533],[-0.00070191 -0.00053116],[5.413759 5.612837],0.1,144.35303534500417,100.35595215839237,16.0,91.74357811368219,0.17793739849830742,51.47779582252313,1,0.030426482234367426,[-0.00100595 -0.00042751],[ 0.00352108 -0.00036575],[5.505414 5.322145],0.1,115.29101249660343,16.0,207.03459061028562,0.20809785660215344,46.11593660406161,1,0.8907322786663826,[-0.00063195  0.00143271],[ 0.00175056 -0.00237014],[5.6853595 5.5945864],0.1
16.30770039853205,307.52070491056077,0.1422725904341666,58.21214857983335,1,0,[0.00162019 0.00092769],[-4.0990693e-04  4.1690073e-06],[5.413349 5.612841],0.1,145.0207043181664,100.85500261818163,16.0,92.54140922872716,0.17882435707869443,51.320114297120995,1,0.044341415416191195,[-0.00145467 -0.000131  ],[ 0.00251513 -0.00079326],[5.5079293 5.3213515],0.1,114.124293063652,16.0,206.66570229237917,0.2086725050954038,46.013776871928215,1,0.8936401941631652,[-0.00048333  0.00125582],[ 0.00111861 -0.00093743],[5.686478 5.593649],0.1
16.30389162742807,306.90565129029056,0.1422827043991821,58.21012578683025,1,0,[-0.00087911  0.00118882],[0.00121029 0.00093186],[5.4145594 5.613773 ],0.1,145.96031278687423,100.24005714459395,16.0,92.86596407716479,0.17979746659753976,51.14711704932627,1,0.049999653019174466,[-0.00178203 -0.00028973],[ 0.00106047 -0.00092426],[5.50899   5.3204274],0.1,113.79963006853183,16.0,206.66559414569662,0.2093830480337451,45.887458127334206,1,0.8936410412486748,[-2.0615086e-03 -8.3176652e-05],[0.00063528 0.00031839],[5.6871133 5.5939674],0.1
16.307344058818316,306.2926440860253,0.14378752899972883,57.9091608667209,1,0,[0.00100344 0.00060343],[0.00033117 0.00212068],[5.414891  5.6158934],0.1,146.32597917441524,99.3931119068668,16.0,92.61862326044053,0.18097558936195232,50.93767300231959,1,0.045687688336273215,[-0.0007298  -0.00072567],[-0.00072157 -0.00121399],[5.5082684 5.3192134],0.1,114.28090891871796,16.0,206.89953217915848,0.20821575502192888,46.09497688499042,1,0.89180122371122,[0.00120012 0.00076614],[-0.00142623  0.00023521],[5.685687  5.5942025],0.1
